epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,653.249,1.13849,0.81252,1.2139,0.71615,0.71287,0.76494,0.46114,1.42589,1.06847,1.39295,0.000665533,0.000665533,0.000665533
2,1296.31,1.19241,0.87817,1.25083,0.74895,0.66093,0.76141,0.44392,1.47329,1.06895,1.41531,0.00132561,0.00132561,0.00132561
3,1938.47,1.25394,0.94252,1.2878,0.73897,0.70255,0.77691,0.45726,1.41178,1.05874,1.37212,0.00197908,0.00197908,0.00197908
4,2577.5,1.28065,0.9638,1.30536,0.72425,0.65823,0.74177,0.44052,1.48002,1.13087,1.41974,0.0019703,0.0019703,0.0019703
5,3215.51,1.2731,0.96393,1.3031,0.71352,0.71598,0.76767,0.4592,1.44049,1.05351,1.39827,0.0019604,0.0019604,0.0019604
6,3854.21,1.27892,0.97158,1.29155,0.75424,0.67112,0.768,0.44594,1.45833,1.08553,1.40272,0.0019505,0.0019505,0.0019505
7,4497.78,1.28503,0.96963,1.31353,0.73516,0.64619,0.74579,0.44774,1.4121,1.04936,1.38388,0.0019406,0.0019406,0.0019406
8,5135.06,1.27934,0.95925,1.29532,0.71683,0.72151,0.77654,0.45241,1.43634,1.06433,1.35746,0.0019307,0.0019307,0.0019307
9,5775.57,1.28394,0.96003,1.30175,0.69576,0.69533,0.76573,0.45152,1.4499,1.06884,1.38211,0.0019208,0.0019208,0.0019208
10,6414.19,1.27692,0.97072,1.29603,0.77985,0.67887,0.78172,0.47243,1.4066,1.00231,1.37516,0.0019109,0.0019109,0.0019109
11,7050.3,1.26019,0.96717,1.30137,0.7986,0.66249,0.77653,0.46352,1.39016,1.03394,1.34923,0.001901,0.001901,0.001901
12,7690.05,1.26439,0.95026,1.29299,0.65289,0.73943,0.76861,0.43812,1.51355,1.06056,1.44484,0.0018911,0.0018911,0.0018911
13,8325.15,1.26102,0.95345,1.28758,0.73216,0.70025,0.78052,0.46022,1.40958,1.03875,1.37182,0.0018812,0.0018812,0.0018812
14,8959.49,1.26134,0.98169,1.29795,0.76433,0.66139,0.77291,0.45986,1.43868,1.05096,1.40141,0.0018713,0.0018713,0.0018713
15,9598.14,1.26276,0.94608,1.29619,0.76142,0.69779,0.80347,0.47774,1.41385,1.03718,1.37562,0.0018614,0.0018614,0.0018614
16,10234.2,1.26562,0.95308,1.29294,0.69055,0.75114,0.7786,0.45555,1.41235,1.07783,1.36899,0.0018515,0.0018515,0.0018515
17,10868.1,1.26737,0.96455,1.30238,0.7286,0.71896,0.77951,0.46404,1.42116,1.02532,1.36561,0.0018416,0.0018416,0.0018416
18,11509.2,1.25966,0.95095,1.2956,0.72052,0.72727,0.78998,0.45678,1.46236,1.08576,1.39048,0.0018317,0.0018317,0.0018317
19,12142.5,1.25072,0.94058,1.28177,0.74214,0.67887,0.7666,0.45573,1.40001,1.09058,1.37847,0.0018218,0.0018218,0.0018218
20,12779.1,1.24822,0.93557,1.27977,0.71427,0.71007,0.76364,0.44995,1.46267,1.06013,1.40502,0.0018119,0.0018119,0.0018119
21,13413.2,1.22496,0.91892,1.27882,0.74038,0.70025,0.77904,0.46934,1.40778,1.05623,1.36668,0.001802,0.001802,0.001802
22,14047.5,1.23733,0.91225,1.27334,0.73701,0.65111,0.76907,0.45019,1.456,1.07506,1.38908,0.0017921,0.0017921,0.0017921
23,14681.8,1.24121,0.93959,1.2776,0.73081,0.71253,0.78114,0.47721,1.39785,1.02312,1.37521,0.0017822,0.0017822,0.0017822
