epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.46,1.77522,2.08223,1.59649,0.53694,0.54701,0.55854,0.27094,1.67673,1.76685,1.49785,0.000665533,0.000665533,0.000665533
2,1327.39,1.74112,1.84804,1.59006,0.52999,0.4742,0.54396,0.28419,1.66807,1.69976,1.54176,0.00132121,0.00132121,0.00132121
3,1988.94,1.72896,1.76665,1.5903,0.62847,0.59705,0.61686,0.30773,1.65566,1.62622,1.55163,0.00196588,0.00196588,0.00196588
4,2649.87,1.69503,1.68989,1.5709,0.66252,0.64128,0.68943,0.35767,1.62074,1.48364,1.49548,0.0019505,0.0019505,0.0019505
5,3313.3,1.65248,1.6245,1.54824,0.52971,0.63882,0.60677,0.31243,1.63704,1.47379,1.50307,0.001934,0.001934,0.001934
6,3974.06,1.62585,1.56529,1.50872,0.70241,0.66339,0.73522,0.38935,1.60277,1.32897,1.47801,0.0019175,0.0019175,0.0019175
7,688.811,1.62112,1.52426,1.50787,0.60719,0.63636,0.6647,0.35634,1.55458,1.67605,1.43611,0.001901,0.001901,0.001901
8,1345.33,1.58326,1.49082,1.49404,0.69514,0.60442,0.70012,0.39544,1.5751,1.32518,1.45762,0.0018845,0.0018845,0.0018845
9,1998.16,1.56359,1.48457,1.48977,0.69118,0.63882,0.70574,0.39197,1.5245,1.32812,1.43413,0.001868,0.001868,0.001868
10,2650.25,1.54311,1.43961,1.47215,0.62194,0.60934,0.66132,0.3709,1.62322,1.45652,1.50954,0.0018515,0.0018515,0.0018515
11,3301.63,1.53768,1.413,1.47194,0.67307,0.68305,0.74641,0.43475,1.44793,1.31319,1.38985,0.001835,0.001835,0.001835
12,3948.87,1.50994,1.37806,1.43596,0.68441,0.69287,0.73553,0.41925,1.48383,1.23074,1.39202,0.0018185,0.0018185,0.0018185
13,4596.98,1.54912,1.38492,1.4752,0.73877,0.67401,0.75132,0.43476,1.4555,1.19097,1.3822,0.001802,0.001802,0.001802
14,5253.15,1.52545,1.36909,1.45611,0.68718,0.67468,0.74354,0.40951,1.5226,1.28034,1.39165,0.0017855,0.0017855,0.0017855
15,5906.33,1.5166,1.36788,1.45153,0.71583,0.6683,0.75344,0.43906,1.4314,1.21084,1.36092,0.001769,0.001769,0.001769
16,6556.27,1.51071,1.354,1.44915,0.66957,0.69779,0.76041,0.44004,1.43215,1.17605,1.3537,0.0017525,0.0017525,0.0017525
17,7205.68,1.49165,1.33276,1.44601,0.67013,0.71499,0.75138,0.43512,1.45253,1.20017,1.37206,0.001736,0.001736,0.001736
18,7853.46,1.47814,1.30915,1.42767,0.72322,0.69533,0.75677,0.42729,1.47847,1.1789,1.39315,0.0017195,0.0017195,0.0017195
19,8500.19,1.48431,1.31057,1.44128,0.71003,0.68586,0.76619,0.44001,1.4082,1.21641,1.36777,0.001703,0.001703,0.001703
20,9152.23,1.47007,1.31229,1.43359,0.68071,0.69779,0.75466,0.43665,1.42788,1.1873,1.38499,0.0016865,0.0016865,0.0016865
21,9799.31,1.46574,1.29008,1.42816,0.71329,0.64794,0.75441,0.44063,1.47551,1.19655,1.41109,0.00167,0.00167,0.00167
22,10451,1.4508,1.28342,1.41478,0.73412,0.68519,0.77209,0.44934,1.43492,1.16078,1.37132,0.0016535,0.0016535,0.0016535
23,11098.6,1.45918,1.28806,1.42911,0.72974,0.67006,0.77263,0.46739,1.40115,1.13322,1.34805,0.001637,0.001637,0.001637
24,11747.3,1.44627,1.257,1.41891,0.69886,0.68796,0.76409,0.44786,1.43233,1.14403,1.38169,0.0016205,0.0016205,0.0016205
25,12397.3,1.42928,1.24858,1.40574,0.73782,0.69287,0.77949,0.46184,1.39984,1.14551,1.3497,0.001604,0.001604,0.001604
26,13047.4,1.43522,1.22715,1.40695,0.77018,0.68343,0.77323,0.43185,1.465,1.14422,1.37165,0.0015875,0.0015875,0.0015875
27,13694.8,1.41063,1.2118,1.39907,0.70274,0.7199,0.77581,0.45763,1.41509,1.09479,1.3679,0.001571,0.001571,0.001571
28,14341.4,1.4198,1.20006,1.39784,0.72709,0.69533,0.78187,0.4617,1.41235,1.09492,1.35112,0.0015545,0.0015545,0.0015545
29,14990.1,1.41584,1.2194,1.39778,0.72439,0.72236,0.77135,0.45847,1.40279,1.11361,1.37168,0.001538,0.001538,0.001538
30,15642.9,1.41946,1.2015,1.39655,0.71169,0.70025,0.78322,0.46108,1.41708,1.07881,1.35727,0.0015215,0.0015215,0.0015215
31,16288.6,1.40714,1.20144,1.38854,0.76379,0.67813,0.78711,0.4617,1.407,1.10226,1.34591,0.001505,0.001505,0.001505
32,16937.4,1.40208,1.19254,1.39223,0.75636,0.69779,0.78816,0.48513,1.37994,1.05618,1.33052,0.0014885,0.0014885,0.0014885
33,17584.8,1.40253,1.17316,1.38221,0.75366,0.71411,0.79298,0.46802,1.41164,1.05328,1.34804,0.001472,0.001472,0.001472
34,18228.3,1.39568,1.17571,1.39461,0.75808,0.66215,0.7813,0.44967,1.47029,1.08708,1.41044,0.0014555,0.0014555,0.0014555
35,18876.9,1.40404,1.16217,1.38351,0.73292,0.68059,0.77946,0.46866,1.38165,1.05345,1.33156,0.001439,0.001439,0.001439
36,19523.7,1.38064,1.15342,1.36842,0.70798,0.7565,0.79966,0.47972,1.37324,1.05577,1.34476,0.0014225,0.0014225,0.0014225
37,20170,1.37846,1.13741,1.36585,0.72281,0.7199,0.7852,0.46682,1.41935,1.08099,1.3544,0.001406,0.001406,0.001406
38,20814.7,1.36082,1.12804,1.35868,0.73617,0.70615,0.78904,0.47685,1.38021,1.08552,1.34726,0.0013895,0.0013895,0.0013895
39,21459.6,1.37058,1.13566,1.36722,0.75446,0.6855,0.78396,0.43708,1.4739,1.14701,1.40454,0.001373,0.001373,0.001373
40,22106.3,1.38654,1.12898,1.3764,0.73576,0.73464,0.78408,0.46482,1.38663,1.07412,1.34389,0.0013565,0.0013565,0.0013565
41,22751.6,1.35858,1.10083,1.35876,0.74763,0.757,0.8011,0.47149,1.44171,1.08607,1.37888,0.00134,0.00134,0.00134
42,23394.9,1.36846,1.10655,1.36148,0.7625,0.7199,0.80191,0.47466,1.38731,1.04377,1.34017,0.0013235,0.0013235,0.0013235
43,24043.5,1.34687,1.12191,1.36053,0.71295,0.73229,0.79518,0.48143,1.37509,1.09531,1.33088,0.001307,0.001307,0.001307
44,24690.3,1.34688,1.09476,1.35636,0.77766,0.70468,0.79898,0.47471,1.38632,1.04093,1.35159,0.0012905,0.0012905,0.0012905
45,25338.7,1.34219,1.07297,1.34371,0.78907,0.70774,0.81477,0.49159,1.36282,0.9915,1.34823,0.001274,0.001274,0.001274
46,25988.5,1.33509,1.07954,1.34327,0.75712,0.674,0.77668,0.48358,1.3845,1.02051,1.36511,0.0012575,0.0012575,0.0012575
47,26639.1,1.32917,1.07444,1.3356,0.69939,0.74314,0.80692,0.48977,1.36514,1.02187,1.32543,0.001241,0.001241,0.001241
48,27287.1,1.34095,1.07233,1.34056,0.78842,0.71007,0.81269,0.49418,1.35072,1.04351,1.33538,0.0012245,0.0012245,0.0012245
49,27934.2,1.32849,1.06817,1.33552,0.78452,0.68305,0.81017,0.49251,1.34895,1.012,1.32017,0.001208,0.001208,0.001208
50,28583.9,1.31052,1.04574,1.32743,0.7696,0.71499,0.81138,0.48197,1.40927,1.01495,1.35263,0.0011915,0.0011915,0.0011915
51,29226.9,1.31361,1.04821,1.33342,0.75813,0.71499,0.81326,0.49021,1.39825,0.99353,1.36145,0.001175,0.001175,0.001175
52,29871.2,1.31267,1.05132,1.32271,0.73279,0.72769,0.7905,0.47127,1.38684,1.1016,1.34656,0.0011585,0.0011585,0.0011585
