epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1507.83,1.70188,2.1996,1.75176,0.71459,0.42384,0.46048,0.27109,1.66247,1.91599,1.69515,0.0033309,0.0033309,0.0033309
2,3009.68,1.65321,1.92464,1.71272,0.74107,0.43377,0.49848,0.27636,1.69121,1.81872,1.73668,0.00664224,0.00664224,0.00664224
3,4509.08,1.69209,1.90947,1.74308,0.77861,0.39594,0.48538,0.27305,1.75877,1.84667,1.82906,0.00993158,0.00993158,0.00993158
4,6012.06,1.72367,1.93478,1.78604,0.73263,0.40728,0.4898,0.24289,1.86564,2.16416,1.86899,0.009901,0.009901,0.009901
5,7512.63,1.6737,1.87221,1.75842,0.72182,0.46397,0.53615,0.30299,1.67567,1.98207,1.72786,0.009868,0.009868,0.009868
6,9013.1,1.63707,1.84089,1.73571,0.80482,0.43694,0.52412,0.30496,1.73103,1.77444,1.82808,0.009835,0.009835,0.009835
7,10512.1,1.59317,1.77492,1.70597,0.73216,0.46689,0.55618,0.32361,1.66749,1.73465,1.73099,0.009802,0.009802,0.009802
8,12012.2,1.56258,1.72403,1.67261,0.89342,0.42053,0.56438,0.33145,1.596,1.60402,1.64226,0.009769,0.009769,0.009769
9,13511.5,1.53803,1.69826,1.65718,0.81867,0.44848,0.58188,0.35397,1.55893,1.60449,1.65371,0.009736,0.009736,0.009736
10,15011.5,1.53041,1.69929,1.65963,0.66388,0.54283,0.61718,0.36137,1.49466,1.47486,1.61796,0.009703,0.009703,0.009703
11,16512.5,1.51742,1.69147,1.65526,0.75848,0.49338,0.61434,0.37381,1.489,1.43665,1.57748,0.00967,0.00967,0.00967
12,18013,1.4883,1.64363,1.63331,0.69995,0.51755,0.58991,0.35981,1.47676,1.44252,1.59118,0.009637,0.009637,0.009637
13,19513.2,1.47382,1.63574,1.6271,0.78692,0.49338,0.58996,0.3616,1.49278,1.53357,1.58311,0.009604,0.009604,0.009604
14,21013.6,1.48032,1.6323,1.62333,0.74471,0.50993,0.59621,0.35642,1.52641,1.53059,1.61567,0.009571,0.009571,0.009571
15,22514.1,1.45154,1.6084,1.61163,0.71617,0.53473,0.60787,0.35845,1.51918,1.40852,1.59492,0.009538,0.009538,0.009538
16,24014.6,1.45564,1.60831,1.60988,0.69242,0.54305,0.61817,0.3801,1.45761,1.50574,1.56343,0.009505,0.009505,0.009505
17,25518.2,1.45095,1.60136,1.60722,0.75465,0.50924,0.58873,0.36245,1.43483,1.55886,1.54942,0.009472,0.009472,0.009472
18,27019.3,1.44148,1.57679,1.5987,0.70813,0.48344,0.5804,0.36556,1.45362,1.48585,1.53706,0.009439,0.009439,0.009439
19,28520.1,1.42556,1.57555,1.5891,0.7237,0.50662,0.59599,0.3771,1.40675,1.44199,1.53343,0.009406,0.009406,0.009406
20,30018.8,1.4045,1.53925,1.57294,0.74953,0.50536,0.6152,0.38905,1.41935,1.44854,1.52488,0.009373,0.009373,0.009373
21,31518.9,1.40961,1.5459,1.57579,0.76402,0.48675,0.61584,0.37728,1.42201,1.39262,1.49226,0.00934,0.00934,0.00934
22,33019.4,1.40401,1.54893,1.57526,0.79689,0.47351,0.60681,0.37406,1.43338,1.44665,1.51267,0.009307,0.009307,0.009307
23,34519.9,1.40751,1.53131,1.57495,0.67999,0.5066,0.6072,0.37549,1.44324,1.42447,1.5407,0.009274,0.009274,0.009274
24,36020.4,1.38718,1.52484,1.56382,0.62434,0.54305,0.60561,0.36345,1.46131,1.45275,1.53793,0.009241,0.009241,0.009241
